gene	estimate	p.value	conf.low	conf.high	q.value	mutated_denovo-DLBCL	non-mutated_denovo-DLBCL	mutated_no-HT	non-mutated_no-HT	enriched_in
VMA21	0.09	0.005	0.002	0.645	0.027	1	194	10	174	FL
ATP6AP1	0.101	0.009	0.002	0.739	0.043	1	194	9	175	FL
CREBBP	0.101	0	0.059	0.168	0	29	166	117	67	FL
ATP6V1B2	0.102	0	0.011	0.441	0.003	2	193	17	167	FL
RRAGC	0.116	0	0.022	0.395	0.001	3	192	22	162	FL
BCL2	0.169	0	0.103	0.272	0	39	156	110	74	FL
KMT2D	0.185	0	0.115	0.293	0	50	145	120	64	FL
TNFRSF14	0.22	0	0.125	0.374	0	25	170	74	110	FL
STAT6	0.273	0.002	0.103	0.646	0.014	8	187	25	159	FL
POU2AF1	0.313	0.016	0.099	0.856	0.068	6	189	17	167	FL
EZH2	0.434	0.003	0.24	0.769	0.022	24	171	45	139	FL
DTX1	2.322	0.03	1.026	5.635	0.099	23	172	10	174	DLBCL
SOCS1	2.459	0.006	1.252	5.041	0.032	35	160	15	169	DLBCL
BCL6	2.467	0.025	1.055	6.267	0.093	22	173	9	175	DLBCL
HIST1H1C	2.553	0.013	1.142	6.145	0.06	25	170	10	174	DLBCL
PCLO	2.742	0.002	1.382	5.72	0.017	36	159	14	170	DLBCL
BTG1	2.789	0.009	1.261	6.666	0.042	27	168	10	174	DLBCL
HIST1H1E	2.991	0	1.548	6.06	0.005	41	154	15	169	DLBCL
TBL1XR1	3.009	0.02	1.111	9.48	0.077	18	177	6	178	DLBCL
GNA13	3.116	0.003	1.372	7.761	0.021	27	168	9	175	DLBCL
SGK1	3.206	0.007	1.281	9.121	0.034	22	173	7	177	DLBCL
PIM1	3.418	0	1.815	6.736	0.001	48	147	16	168	DLBCL
CCND3	3.471	0.028	1.063	14.753	0.099	14	181	4	180	DLBCL
ITPKB	3.471	0.028	1.063	14.753	0.099	14	181	4	180	DLBCL
HIST1H1B	3.57	0.005	1.352	11.075	0.027	21	174	6	178	DLBCL
BTG2	3.677	0.001	1.576	9.612	0.008	28	167	8	176	DLBCL
TP53	4.239	0	1.922	10.35	0.001	35	160	9	175	DLBCL
KLF2	4.295	0.019	1.153	23.889	0.077	13	182	3	181	DLBCL
B2M	4.304	0	1.873	11.133	0.003	32	163	8	176	DLBCL
CD79B	4.56	0.004	1.463	18.885	0.022	18	177	4	180	DLBCL
P2RY8	4.65	0.011	1.268	25.661	0.052	14	181	3	181	DLBCL
ACTB	4.84	0.002	1.566	19.949	0.017	19	176	4	180	DLBCL
CD83	5.009	0.007	1.384	27.454	0.034	15	180	3	181	DLBCL
HIST1H1D	7.552	0.002	1.718	69.126	0.017	15	180	2	182	DLBCL
MGA	8.817	0.02	1.201	389.501	0.077	9	186	1	183	DLBCL
WEE1	8.817	0.02	1.201	389.501	0.077	9	186	1	183	DLBCL
MYC	9.213	0	2.155	83.208	0.003	18	177	2	182	DLBCL
TMSB4X	9.458	0	3.27	37.484	0	34	161	4	180	DLBCL
MYD88	9.651	0	2.889	50.626	0	27	168	3	181	DLBCL
PIM2	9.849	0.011	1.376	430.737	0.051	10	185	1	183	DLBCL
NFKBIA	10.89	0.006	1.554	472.405	0.032	11	184	1	183	DLBCL
TMEM30A	11.942	0.003	1.734	514.512	0.022	12	183	1	183	DLBCL
CD70	13.016	0.002	1.917	557.064	0.014	13	182	1	183	DLBCL
DUSP2	15.809	0	3.899	138.792	0	29	166	2	182	DLBCL
CD58	16.282	0	2.478	687.463	0.003	16	179	1	183	DLBCL
HLA-B	16.282	0	2.478	687.463	0.003	16	179	1	183	DLBCL
NOTCH2	16.282	0	2.478	687.463	0.003	16	179	1	183	DLBCL
CDKN2A	Inf	0.03	1.126	Inf	0.099	6	189	0	184	DLBCL
GRHPR	Inf	0.015	1.385	Inf	0.064	7	188	0	184	DLBCL
HNRNPD	Inf	0.03	1.126	Inf	0.099	6	189	0	184	DLBCL
IL4R	Inf	0.03	1.126	Inf	0.099	6	189	0	184	DLBCL
INO80	Inf	0.03	1.126	Inf	0.099	6	189	0	184	DLBCL
IRF4	Inf	0.004	1.914	Inf	0.022	9	186	0	184	DLBCL
PRDM1	Inf	0	5.071	Inf	0	20	175	0	184	DLBCL
XPO1	Inf	0.015	1.385	Inf	0.064	7	188	0	184	DLBCL
ZC3H12A	Inf	0.004	1.914	Inf	0.022	9	186	0	184	DLBCL
