Gene	Year	Citekey	Entity	Tier
ZFAT	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
BCL10	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
EZH2	2010	morinSomaticMutationsAltering2010	DLBCL	1
ATM	2013	beaLandscapeSomaticMutations2013	MCL	1
PPP4C	2021	hubschmannMutationalMechanismsShaping2021b	FL	2
SPEN	2012	rossiCodingGenomeSplenic2012c	DLBCL	1
KCMF1	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
CHD1	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
TET2	2017	albuquerqueEnhancingKnowledgeDiscovery2017a	DLBCL	1
DNMT1	2019	paneaWholeGenomeLandscape2019	BL	2
MYO18A	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
EML2	2012	loveGeneticLandscapeMutations2012	BL	2
KLHL21	2018	schmitzGeneticsPathogenesisDiffuse2018a	DLBCL	2
HIST1H3H	2019	paneaWholeGenomeLandscape2019	BL	2
IRF1	2021	hubschmannMutationalMechanismsShaping2021b	DLBCL	2
CILP	2023	russler-germainMutationsAssociatedProgression2023a	FL	2
PCDHA11	2019	paneaWholeGenomeLandscape2019	BL	2
PDS5B	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
VWA7	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
ADAMTS1	2021	hubschmannMutationalMechanismsShaping2021b	DLBCL	2
SETD5	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
LPP	2018	arthurGenomewideDiscoverySomatic2018	DLBCL	2
LYN	NA	Unknown	DLBCL	1
EHD1	NA	Unknown	BL	2
RBM6	2021	hubschmannMutationalMechanismsShaping2021b	FL	2
ATP6V1B2	NA	Unknown	FL	1
IL6	2018	chapuyMolecularSubtypesDiffuse2018b	DLBCL	2
LRRN3	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
DHX16	2021	hubschmannMutationalMechanismsShaping2021b	DLBCL	2
CDH17	2012	loveGeneticLandscapeMutations2012	BL	2
HNRNPD	NA	Unknown	DLBCL	1
HIST1H2AM	2019	paneaWholeGenomeLandscape2019	BL	2
CYP4F22	2012	loveGeneticLandscapeMutations2012	BL	2
POT1	2014	zhangGenomicLandscapeMantle2014	MCL	1
ACTG1	2021	hubschmannMutationalMechanismsShaping2021b	DLBCL	1
HIST1H1B	2018	chapuyMolecularSubtypesDiffuse2018b	DLBCL	1
CD79B	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
DAZAP1	2020	pararajalingamCodingNoncodingDrivers2020	DLBCL	1
PPP1R9B	NA	Unknown	DLBCL	1
ABI3BP	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
COL11A1	2014	zhangGenomicLandscapeMantle2014	MCL	2
PHF6	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
FUBP1	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
MALAT1	2018	arthurGenomewideDiscoverySomatic2018	DLBCL	2
SERPINA9	2018	arthurGenomewideDiscoverySomatic2018	DLBCL	2
MIR142	2012	kwanhianMicroRNA142Mutated202012b	DLBCL	2
MS4A1	2020	rushtonGeneticEvolutionaryPatterns2020	DLBCL	1
RFTN1	2018	arthurGenomewideDiscoverySomatic2018	DLBCL	2
SYNGAP1	2012	loveGeneticLandscapeMutations2012	BL	2
FAS	2007	schollMutationsRegionFAS2007	DLBCL	1
GTSE1	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
ZNF229	2012	loveGeneticLandscapeMutations2012	BL	2
CRIP1	2018	chapuyMolecularSubtypesDiffuse2018b	DLBCL	2
