Gene	Year	Citekey	Entity	Tier
TBL1XR1	2016	mareschalWholeExomeSequencing2016	DLBCL	1
BACH2	2019	grandeGenomewideDiscoverySomatic2019	BL	2
FZR1	2021	hubschmannMutationalMechanismsShaping2021b	DLBCL	
POGZ	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
SGK1	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
SETD2	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	2
FOXC1	2018	schmitzGeneticsPathogenesisDiffuse2018a	DLBCL	1
ZNF85	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
DDX3X	2018	schmitzGeneticsPathogenesisDiffuse2018a	DLBCL	1
DDX3X	2012	schmitzBurkittLymphomaPathogenesis2012	BL	1
ZNF117	2014	zhangGenomicLandscapeMantle2014	MCL	2
ACAD9	2012	loveGeneticLandscapeMutations2012	BL	2
ETS1	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
ETS1	2019	paneaWholeGenomeLandscape2019	BL	2
SERPINA9	2018	arthurGenomewideDiscoverySomatic2018	DLBCL	2
FNDC1	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
SPEN	2012	rossiCodingGenomeSplenic2012c	DLBCL	1
STAT5B	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	2
PIM2	2018	arthurGenomewideDiscoverySomatic2018	DLBCL	1
OGDHL	2014	zhangGenomicLandscapeMantle2014	MCL	2
SYPL1	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
EZH2	2012	loveGeneticLandscapeMutations2012	BL	2
EZH2	2010	morinSomaticMutationsAltering2010	DLBCL	1
DSG4	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
KCNK10	2019	paneaWholeGenomeLandscape2019	BL	2
PDS5B	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
IL4R	2021	dunsCharacterizationDLBCLPMBL2021b	DLBCL	1
IKZF3	2013	morinMutationalStructuralAnalysis2013	DLBCL	1
IKZF3	2019	paneaWholeGenomeLandscape2019	BL	2
CYP4F22	2012	loveGeneticLandscapeMutations2012	BL	2
GAK	2021	hubschmannMutationalMechanismsShaping2021b	DLBCL	2
