Gene	citekey	Tier	QC	Novel
KMT2D	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TP53	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
CD79B	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
GNA13	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TNFRSF14	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CREBBP	pasqualucciInactivatingMutationsAcetyltransferase2011a	1	NA	FALSE
CARD11	lenzOncogenicCARD11Mutations2008	1	NA	FALSE
MYD88	ngoOncogenicallyActiveMYD882011a	1	NA	FALSE
HLA-B	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
TET2	albuquerqueEnhancingKnowledgeDiscovery2017a	1	NA	TRUE
CD70	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
SETD1B	albuquerqueEnhancingKnowledgeDiscovery2017a	1	NA	TRUE
SPEN	albuquerqueEnhancingKnowledgeDiscovery2017a	1	NA	TRUE
HLA-A	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
ACTB	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
STAT6	yildizActivatingSTAT6Mutations2015c	1	NA	FALSE
TMEM30A	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TNFAIP3	compagnoMutationsMultipleGenes2009a	1	NA	FALSE
UBR5	zhangGeneticHeterogeneityDiffuse2013	2	NA	FALSE
MEF2B	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CD58	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
NFKBIE	morinGeneticLandscapesRelapsed2016	1	NA	FALSE
BTK	albuquerqueEnhancingKnowledgeDiscovery2017a	1	NA	TRUE
ARID1A	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
CEP164	albuquerqueEnhancingKnowledgeDiscovery2017a	2	NA	TRUE
DNMT3B	albuquerqueEnhancingKnowledgeDiscovery2017a	2	NA	TRUE
ERAP2	albuquerqueEnhancingKnowledgeDiscovery2017a	2	NA	TRUE
ETV6	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
EZH2	morinSomaticMutationsAltering2010a	1	NA	FALSE
FAS	schollMutationsRegionFAS2007	1	NA	FALSE
UBE2A	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
KLHL6	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
EBF1	bohleRoleEarlyBcell2013	1	NA	FALSE
ZFP36L1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CIITA	morinFrequentMutationHistonemodifying2011	2	NA	FALSE
KMT2C	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
ASXL3	albuquerqueEnhancingKnowledgeDiscovery2017a	2	NA	TRUE
B2M	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
