Gene	citekey	Tier	QC	Novel
ADAMTS12	NA	NA	NA	NA
ADPRHL1	NA	NA	NA	NA
AICDA	arthurGenomewideDiscoverySomatic2018	2	NA	TRUE
ARID1A	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
ARID5B	reddyGeneticFunctionalDrivers2017	2	PASS	FALSE
ATM	reddyGeneticFunctionalDrivers2017	1	NA	FALSE
B2M	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
BATF	NA	NA	NA	NA
BCL10	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
BCL2	tanakaFrequentIncidenceSomatic1992	1	NA	FALSE
BCL7A	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
BIRC6	reddyGeneticFunctionalDrivers2017	1	NA	FALSE
BTG2	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
C1orf186	NA	NA	NA	NA
CARD11	lenzOncogenicCARD11Mutations2008	1	NA	FALSE
CBWD7	NA	NA	NA	NA
CCND1	NA	NA	NA	NA
CCND3	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CD44	arthurGenomewideDiscoverySomatic2018	2	NA	TRUE
CD58	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CD74	arthurGenomewideDiscoverySomatic2018	2	NA	TRUE
CD79B	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CIITA	morinFrequentMutationHistonemodifying2011	2	NA	FALSE
CREBBP	pasqualucciInactivatingMutationsAcetyltransferase2011a	1	NA	FALSE
DDX3X	reddyGeneticFunctionalDrivers2017	1	NA	FALSE
DNMT1	NA	NA	NA	NA
DMD	NA	NA	NA	NA
DSG4	morinMutationalStructuralAnalysis2013	2	PASS	FALSE
EBF1	bohleRoleEarlyBcell2013	1	NA	FALSE
EP300	pasqualucciInactivatingMutationsAcetyltransferase2011a	1	NA	FALSE
EZH2	morinSomaticMutationsAltering2010a	1	NA	FALSE
ETS1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
ETV6	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
EZH2	morinSomaticMutationsAltering2010a	1	NA	FALSE
FAS	schollMutationsRegionFAS2007	1	NA	FALSE
FBXO11	hubschmannMutationalMechanismsShaping2021b	1	NA	FALSE
FOXO1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
GABRB3	NA	NA	NA	NA
GRHPR	arthurGenomewideDiscoverySomatic2018	1	NA	TRUE
GHDC	NA	NA	NA	NA
GNA13	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
GNAI2	morinMutationalStructuralAnalysis2013	1	NA	FALSE
HIST1H1C	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
HIST1H1E	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
HVCN1	chapuyMolecularSubtypesDiffuse2018b	1	NA	FALSE
ID3	schmitzBurkittLymphomaPathogenesis2012	2	NA	FALSE
IGLL5	chapuyMolecularSubtypesDiffuse2018b	2	NA	FALSE
IL4R	dunsCharacterizationDLBCLPMBL2021b	1	NA	FALSE
IRF4	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
IRF8	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
KHDRBS2	NA	NA	NA	NA
KLHL6	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
KMT2C	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
KMT2D	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
LPP	arthurGenomewideDiscoverySomatic2018	2	NA	TRUE
MEF2B	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
MPEG1	morinMutationalStructuralAnalysis2013	1	NA	FALSE
MS4A1	rushtonGeneticEvolutionaryPatterns2020	1	NA	FALSE
MYC	pasqualucciHypermutationMultipleProtooncogenes2001a	1	NA	FALSE
MYD88	ngoOncogenicallyActiveMYD882011a	1	NA	FALSE
NFKB1	NA	2	NA	NA
NFKBIA	lakeMutationsNFKBIAEncoding2009	1	NA	FALSE
NFKBIE	morinGeneticLandscapesRelapsed2016	1	NA	FALSE
NFKBIZ	morinGeneticLandscapesRelapsed2016	1	NA	FALSE
NOTCH1	pasqualucciAnalysisCodingGenome2011	1	NA	FALSE
NR3C1	NA	NA	NA	NA
P2RY8	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
PCBP1	NA	2	NA	NA
PDS5B	morinMutationalStructuralAnalysis2013	2	PASS	FALSE
PHF6	reddyGeneticFunctionalDrivers2017	3	FAIL	FALSE
PIM1	pasqualucciHypermutationMultipleProtooncogenes2001a	1	NA	FALSE
PIM2	arthurGenomewideDiscoverySomatic2018	1	NA	TRUE
PLEKHA2	NA	NA	NA	NA
