Gene	citekey	Tier	QC	Novel
KRAS	lohrDiscoveryPrioritizationSomatic2012a	1	NA	TRUE
BRAF	tiacciBRAFMutationsHairycell2011a	1	NA	FALSE
TBP	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
VAX1	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
ZNF385B	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
HIST1H3A	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
JUNB	lohrDiscoveryPrioritizationSomatic2012a	1	PASS	TRUE
PTPN21	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
RBP3	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
XPO1	mareschalWholeExomeSequencing2016	1	NA	FALSE
CD79B	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
GNA13	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
MEF2B	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TNFRSF14	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TP53	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
KMT2D	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
HIST1H1C	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
BTG1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CARD11	lenzOncogenicCARD11Mutations2008	1	NA	FALSE
PIM1	pasqualucciHypermutationMultipleProtooncogenes2001a	1	NA	FALSE
CD58	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
MYD88	ngoOncogenicallyActiveMYD882011a	1	NA	FALSE
PCLO	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
EZH2	morinSomaticMutationsAltering2010a	1	NA	FALSE
TMSL3	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
CD70	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
P2RY8	lohrDiscoveryPrioritizationSomatic2012a	1	NA	TRUE
KRTAP5-5	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
HIST1H3B	lohrDiscoveryPrioritizationSomatic2012a	1	NA	TRUE
ACTB	lohrDiscoveryPrioritizationSomatic2012a	1	NA	TRUE
CREBBP	pasqualucciInactivatingMutationsAcetyltransferase2011a	1	NA	FALSE
NFKBIA	thomasMutationalAnalysisIkappaBalpha2004	1	NA	FALSE
B2M	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
SOCS1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
HLA-A	lohrDiscoveryPrioritizationSomatic2012a	1	NA	TRUE
UBE2A	lohrDiscoveryPrioritizationSomatic2012a	1	NA	TRUE
CCND3	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
POU2F2	lohrDiscoveryPrioritizationSomatic2012a	1	NA	TRUE
OR6K3	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
UNC5D	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
PASD1	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
STAT3	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CIITA	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
SYN2	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
PDGFC	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
TBL1XR1	lohrDiscoveryPrioritizationSomatic2012a	1	NA	TRUE
HIST1H1E	lohrDiscoveryPrioritizationSomatic2012a	1	NA	TRUE
UNC5C	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
SRPX	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
PCDHB6	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
S1PR2	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
KLHL6	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
ETV6	lohrDiscoveryPrioritizationSomatic2012a	1	NA	TRUE
SLITRK6	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
DUSP2	lohrDiscoveryPrioritizationSomatic2012a	1	NA	TRUE
SLC38A8	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
H1FOO	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
HLA-B	lohrDiscoveryPrioritizationSomatic2012a	1	NA	TRUE
CPS1	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
BCR	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
TNF	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
HIST1H2AL	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
HIST1H2BC	lohrDiscoveryPrioritizationSomatic2012a	1	NA	TRUE
GABRA1	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
HIST1H2BO	lohrDiscoveryPrioritizationSomatic2012a	2	NA	TRUE
