Gene	citekey	Tier	QC	Novel
B2M	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
BCL10	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
BCL6	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
BCL2	tanakaFrequentIncidenceSomatic1992	1	NA	FALSE
BTG1	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
BTG2	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
CARD11	lenzOncogenicCARD11Mutations2008	1	NA	FALSE
CCND3	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
CD274	morinFrequentMutationHistonemodifying2011	2	NA	TRUE
CD58	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
CD70	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
CD79B	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
CIITA	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
CREBBP	pasqualucciInactivatingMutationsAcetyltransferase2011a	1	NA	FALSE
ETS1	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
EZH2	morinSomaticMutationsAltering2010a	1	NA	FALSE
FAS	schollMutationsRegionFAS2007	1	NA	FALSE
FAT2	morinFrequentMutationHistonemodifying2011	2	NA	TRUE
FOXO1	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
GNA13	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
HIST1H1C	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
IRF4	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
IRF8	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
IKZF3	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
BCL7A	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
PIM1	pasqualucciHypermutationMultipleProtooncogenes2001a	1	NA	FALSE
KLHL6	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
KMT2D	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
MEF2B	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
MYD88	ngoOncogenicallyActiveMYD882011a	1	NA	FALSE
S1PR2	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
SGK1	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
STAT3	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
SOCS1	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
RAPGEF1	morinFrequentMutationHistonemodifying2011	2	NA	TRUE
TMEM30A	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
TNFRSF14	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
TP53	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
ZFP36L1	morinFrequentMutationHistonemodifying2011	1	NA	TRUE
