Gene	citekey	Tier	QC	Novel
CD58	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CDKN2A	morinMutationalStructuralAnalysis2013	1	NA	TRUE
DSEL	morinMutationalStructuralAnalysis2013	2	NA	TRUE
DSEL	morinMutationalStructuralAnalysis2013	2	NA	TRUE
HIST1H1E	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
HIST1H2AC	morinMutationalStructuralAnalysis2013	1	NA	TRUE
HIST1H2AG	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
IER2	morinMutationalStructuralAnalysis2013	3	FAIL	TRUE
IRF4	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
LRRN3	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
P2RY8	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
PCDHB11	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
RB1	morinMutationalStructuralAnalysis2013	1	NA	TRUE
S1PR2	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
SAMD9L	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
SGK1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
SOCS1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TMEM30A	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TP53	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
SYPL1	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
EBF1	bohleRoleEarlyBcell2013	1	NA	FALSE
CREBBP	pasqualucciInactivatingMutationsAcetyltransferase2011a	1	NA	FALSE
KMT2D	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
BCL2	tanakaFrequentIncidenceSomatic1992	1	NA	FALSE
DNAH5	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
BCL10	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
GNA13	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
POGZ	morinMutationalStructuralAnalysis2013	3	FAIL	TRUE
DUSP2	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
MYD88	ngoOncogenicallyActiveMYD882011a	1	NA	FALSE
CD83	morinMutationalStructuralAnalysis2013	1	NA	TRUE
ETS1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
IKZF3	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
MEF2B	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TNFRSF14	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
KLHL6	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
PIM1	pasqualucciHypermutationMultipleProtooncogenes2001a	1	NA	FALSE
KLHL14	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
DSG4	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
WDFY3	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
CDH9	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
HIST1H1C	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
HIST1H1D	morinMutationalStructuralAnalysis2013	1	NA	TRUE
EZH2	morinSomaticMutationsAltering2010a	1	NA	FALSE
CARD11	lenzOncogenicCARD11Mutations2008	1	NA	FALSE
BTG1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CD70	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CD79B	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
B2M	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
FNDC1	morinMutationalStructuralAnalysis2013	3	FAIL	TRUE
IRF8	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
IFNGR1	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
P2RX5	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
BCL6	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TBL1XR1	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
FAM38B	morinMutationalStructuralAnalysis2013	3	FAIL	TRUE
MPDZ	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
GNAI2	morinMutationalStructuralAnalysis2013	1	NA	TRUE
MPEG1	morinMutationalStructuralAnalysis2013	1	NA	TRUE
PRKCB	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
SARM1	morinMutationalStructuralAnalysis2013	3	FAIL	TRUE
PRDM1	pasqualucciInactivationPRDM1BLIMP12006a	1	NA	FALSE
HDAC7	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
PCDH7	zhangGeneticHeterogeneityDiffuse2013	3	NA	FALSE
FAT4	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
SRRM2	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
CNTNAP5	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
ABI3BP	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
PKD1	morinMutationalStructuralAnalysis2013	3	FAIL	TRUE
NLRP5	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
ODZ2	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
PTPN23	morinMutationalStructuralAnalysis2013	3	FAIL	TRUE
PASK	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
TAF1	morinMutationalStructuralAnalysis2013	1	NA	TRUE
ZNF608	morinMutationalStructuralAnalysis2013	1	NA	TRUE
PDS5B	morinMutationalStructuralAnalysis2013	2	PASS	TRUE
ARAP2	morinMutationalStructuralAnalysis2013	2	NA	TRUE
