Gene	citekey	Tier	QC	Novel
KMT2D	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CREBBP	pasqualucciInactivatingMutationsAcetyltransferase2011a	1	NA	FALSE
TP53	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
MYOM2	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
TNFAIP3	compagnoMutationsMultipleGenes2009a	1	NA	FALSE
PIM1	pasqualucciHypermutationMultipleProtooncogenes2001a	1	NA	FALSE
CD36	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
B2M	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CD79B	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
PRDM1	pasqualucciInactivationPRDM1BLIMP12006a	1	NA	FALSE
CARD11	lenzOncogenicCARD11Mutations2008	1	NA	FALSE
BCL2	tanakaFrequentIncidenceSomatic1992	1	NA	FALSE
MEF2B	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
MYD88	ngoOncogenicallyActiveMYD882011a	1	NA	FALSE
ANKLE2	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
KDM2B	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
HNF1B	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
MYC	pasqualucciHypermutationMultipleProtooncogenes2001a	1	NA	FALSE
CD58	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
EZH2	morinSomaticMutationsAltering2010a	1	NA	FALSE
ADAMTSL3	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
AKAP8	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
C12orf35	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
CCND3	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
DCHS1	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
DUSP27	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
MAGEC3	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
TLL2	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
TMEM30A	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
EP300	pasqualucciInactivatingMutationsAcetyltransferase2011a	1	NA	FALSE
DPYD	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
DSC3	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
KLF2	pasqualucciAnalysisCodingGenome2011	1	NA	TRUE
MED12L	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
MTMR8	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
PMS1	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
TSC22D1	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
OFD1	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
TRAF3	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
BCL2L10	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
BRSK1	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
CAMTA1	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
CYTSB	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
DUSP9	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
FBXO31	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
GRB2	pasqualucciAnalysisCodingGenome2011	1	NA	TRUE
HMGB1	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
MYO1G	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
PPP2R5A	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
RASGEF1A	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
RGAG1	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
SERPINA1	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
SMARCA1	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
ZNF521	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
ZWILCH	pasqualucciAnalysisCodingGenome2011	2	NA	TRUE
NOTCH1	pasqualucciAnalysisCodingGenome2011	1	NA	TRUE
