Gene	citekey	Tier	QC	Novel
KMT2D	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
BCL2	tanakaFrequentIncidenceSomatic1992	1	NA	FALSE
MYD88	ngoOncogenicallyActiveMYD882011a	1	NA	FALSE
HIST1H1E	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
PIM1	pasqualucciHypermutationMultipleProtooncogenes2001a	1	NA	FALSE
CREBBP	pasqualucciInactivatingMutationsAcetyltransferase2011a	1	NA	FALSE
CARD11	lenzOncogenicCARD11Mutations2008	1	NA	FALSE
SPEN	albuquerqueEnhancingKnowledgeDiscovery2017a	1	NA	FALSE
TP53	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
ARID1A	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
TNFRSF14	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
SOCS1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CDKN2A	morinMutationalStructuralAnalysis2013	1	NA	FALSE
NOTCH2	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
ARID1B	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
SETD1B	albuquerqueEnhancingKnowledgeDiscovery2017a	1	NA	FALSE
GNA13	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
SMARCA4	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
SGK1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
MGA	reddyGeneticFunctionalDrivers2017	1	NA	TRUE
DUSP2	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
CD70	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
ATM	reddyGeneticFunctionalDrivers2017	1	NA	TRUE
BTG2	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
ZNF608	morinMutationalStructuralAnalysis2013	1	NA	FALSE
STAT6	yildizActivatingSTAT6Mutations2015c	1	NA	FALSE
KLHL6	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
MTOR	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
BIRC6	reddyGeneticFunctionalDrivers2017	1	NA	TRUE
IRF8	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
IRF4	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
PIK3CD	zhangGeneticHeterogeneityDiffuse2013	2	NA	FALSE
SETD2	zhangGeneticHeterogeneityDiffuse2013	2	NA	FALSE
TET2	albuquerqueEnhancingKnowledgeDiscovery2017a	1	NA	FALSE
B2M	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TNFAIP3	compagnoMutationsMultipleGenes2009a	1	NA	FALSE
ARID5B	reddyGeneticFunctionalDrivers2017	2	PASS	TRUE
EZH2	morinSomaticMutationsAltering2010a	1	NA	FALSE
