Gene	citekey	Tier	QC	Novel
ACTB	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
ARID1A	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
BCL10	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
BCL2	tanakaFrequentIncidenceSomatic1992	1	NA	FALSE
BCL6	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
BTG1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
BTG2	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CD58	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CD70	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CD79B	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CD83	morinMutationalStructuralAnalysis2013	1	NA	FALSE
CDKN2A	morinMutationalStructuralAnalysis2013	1	NA	FALSE
CIITA	morinFrequentMutationHistonemodifying2011	2	NA	FALSE
CREBBP	pasqualucciInactivatingMutationsAcetyltransferase2011a	1	NA	FALSE
DDX3X	reddyGeneticFunctionalDrivers2017	1	NA	FALSE
DTX1	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
DUSP2	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
EP300	pasqualucciInactivatingMutationsAcetyltransferase2011a	1	NA	FALSE
ETS1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
ETV6	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
EZH2	morinSomaticMutationsAltering2010a	1	NA	FALSE
FOXC1	schmitzGeneticsPathogenesisDiffuse2018a	2	NA	TRUE
GRHPR	arthurGenomewideDiscoverySomatic2018	1	NA	FALSE
HLA-A	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
HLA-B	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
ID3	schmitzBurkittLymphomaPathogenesis2012	2	NA	FALSE
IRF4	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
IRF8	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
ITPKB	schmitzGeneticsPathogenesisDiffuse2018a	1	NA	TRUE
JUNB	reddyGeneticFunctionalDrivers2017	1	PASS	FALSE
KLF2	pasqualucciAnalysisCodingGenome2011	1	NA	FALSE
KLHL14	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
KMT2D	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
MEF2B	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
MPEG1	morinMutationalStructuralAnalysis2013	1	NA	FALSE
MYD88	ngoOncogenicallyActiveMYD882011a	1	NA	FALSE
NFKBIA	lakeMutationsNFKBIAEncoding2009	1	NA	FALSE
NOL9	schmitzGeneticsPathogenesisDiffuse2018a	1	NA	TRUE
NOTCH1	pasqualucciAnalysisCodingGenome2011	1	NA	FALSE
NOTCH2	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
OSBPL10	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
PIM1	pasqualucciHypermutationMultipleProtooncogenes2001a	1	NA	FALSE
PIM2	arthurGenomewideDiscoverySomatic2018	1	NA	FALSE
PRDM1	pasqualucciInactivationPRDM1BLIMP12006a	1	NA	FALSE
PRKDC	schmitzGeneticsPathogenesisDiffuse2018a	2	NA	TRUE
S1PR2	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
SETD1B	albuquerqueEnhancingKnowledgeDiscovery2017a	1	NA	FALSE
SGK1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
SOCS1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
SPEN	albuquerqueEnhancingKnowledgeDiscovery2017a	1	NA	FALSE
STAT3	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
STAT6	yildizActivatingSTAT6Mutations2015c	1	NA	FALSE
TBL1XR1	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
TET2	albuquerqueEnhancingKnowledgeDiscovery2017a	1	NA	FALSE
TMEM30A	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TNFAIP3	compagnoMutationsMultipleGenes2009a	1	NA	FALSE
TNFRSF14	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TOX	reddyGeneticFunctionalDrivers2017	1	NA	FALSE
TP53	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
UBE2A	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
WEE1	schmitzGeneticsPathogenesisDiffuse2018a	1	NA	TRUE
ZFP36L1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
