Gene	citekey	Tier	QC	Novel
MARCHF7	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ABCA3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ABCA4	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ACE	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ACSM3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ACSS2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ACSS3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ACTN1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ADAM2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ADAMTS15	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ADH7	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
AFAP1L2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ETNPPL	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
AHR	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
AKAP9	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ALAS1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ALDH1L2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
AMAC1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
AMIGO3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
AMPH	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ANK2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ANKRD17	zhangGeneticHeterogeneityDiffuse2013	2	NA	TRUE
ANKRD44	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ANTXR1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
AP1G2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
APBB1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
APC	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
APOA5	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
APP	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ARID1A	zhangGeneticHeterogeneityDiffuse2013	1	NA	TRUE
ATIC	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ATP10A	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ATP1A2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ATP2A3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
B2M	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
B4GALNT2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
BAZ1A	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
BCAT2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
BCL2	tanakaFrequentIncidenceSomatic1992	1	NA	FALSE
BCL6	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
BCL7A	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
BLM	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
BMPR1A	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
BRCA2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
BRD4	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
BSCL2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
BTAF1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
BTBD3	zhangGeneticHeterogeneityDiffuse2013	2	NA	TRUE
BTG1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
C9	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CAD	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CAPN5	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CAPN7	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CARD11	lenzOncogenicCARD11Mutations2008	1	NA	FALSE
CCDC132	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CCDC46	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CCDC97	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CCNF	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CD79B	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CDC123	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CDH10	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CDH7	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CDH8	reddyGeneticFunctionalDrivers2017	3	FAIL	FALSE
CDK3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CECR1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CELSR2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CHD3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CHRM5	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CIC	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CNGA4	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CNOT6	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CNP	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CNTN6	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
COL5A2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CORO2A	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CORO7	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CREBBP	pasqualucciInactivatingMutationsAcetyltransferase2011a	1	NA	FALSE
CRELD2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CRTC3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
CST7	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
