Gene	Tier
ABCA3	2
ABCC9	2
ATM	1
BCOR	1
BIRC3	1
CARD11	1
CCND1	1
CHMP4C	2
CRYBG3	2
DAZAP1	1
DCP1B	2
DNAJC6	2
DLGAP2	2
EWSR1	1
HNRNPH1	1
KCNC2	2
KIAA1671	2
KMT2D	1
LUZP4	2
MEF2B	1
NOTCH1	1
NOTCH2	1
NSD2	1
PCSK2	2
PDLIM3	2
RB1	1
RGS4	2
S1PR1	1
SLC17A6	2
SMARCA4	1
SP140	1
SYNE1	1
TERT	1
TLR2	1
TNRC6B	2
TP53	1
TRPM6	2
UBR5	1
NFKBIE	1
POT1	1
ANK2	2
ARID1B	2
ATP11C	2
B2M	2
CDH8	2
COL11A1	2
COL16A1	2
CTNNA2	2
DHDH	2
DLC1	2
EIF2AK4	2
ESX1	2
FAT4	2
GRIN2A	2
HEPH	2
KMT2C	2
MRGPRF	2
NIN	2
OGDHL	2
PCDHB2	2
PLXNB3	2
ROBO2	2
SALL3	2
SI	2
SMARCB1	2
SMC1A	2
TBC1D26	2
ZNF117	2
ZNF296	2
