hg19	hg38
HIST1H1B	H1-5
HIST1H1C	H1-2
HIST1H1D	H1-3
HIST1H1E	H1-4
HIST1H2AC	H2AC6
HIST1H2AG	H2AC11
HIST1H2AM	H2AC17
HIST1H2BC	H2BC4
HIST1H2BD	H2BC5
HIST1H2BG	H2BC8
HIST1H2BM	H2BC14
HIST1H3B	H3C2
HIST1H3G	H3C8
HIST1H3I	H3C11
C10orf12	LCOR
HIST1H2BK	H2BC12
HIST1H3D	H3C4
HIST1H3H	H3C10
HIST1H3J	H3C12
HIST1H4J	H4C11
SEPT10	SEPTIN10
CARD4	NOD1
C6orf27	VWA7
EIF2C4	AGO4
FAM129B	NIBAN2
GGTLA4	GGTLC1
ICK	CILK1
SAPS2	PPP6R2
SAL3	IPO5
HIST2H2BE	H2BC21
SMEK1	PPP4R3A
GSG2	HASPIN
MGEA5	OGA
C1orf186	RHEX
BZRAP1-AS1	TSPOAP1-AS1
LRMP	IRAG2
SEPT9	SEPTIN9
KIAA0226L	RUBCNL
MIR142	MIR142HG
