Gene	Year	Citekey	Entity	Tier
ABCA13	2016	spinaGeneticsNodalMarginal2016	MZL	2
ABCA3	2016		DLBCL	3
ABCA4	2016		DLBCL	3
ABCB1	2016		DLBCL	3
ABCC9	2013	beaLandscapeSomaticMutations2013	MCL	2
ABI3BP	2013		DLBCL	2
ABL2	2023	russler-germainMutationsAssociatedProgression2023	FL	2
ACAD9	2012	loveGeneticLandscapeMutations2012	BL	3
ACE	2012		DLBCL	3
ACSM3	2012		DLBCL	3
ACSS2	2012		DLBCL	3
ACSS3	2012		DLBCL	3
ACTB	2012		DLBCL	1
ACTG1	2012		DLBCL	1
ACTN1	2012		DLBCL	3
ADAM2	2012		DLBCL	3
ADAMTS1	2012		DLBCL	2
ADAMTS15	2012		DLBCL	3
ADAMTS5	2022	burkhardtClinicalRelevanceMolecular2022	BL	2
ADAMTSL3	2022		DLBCL	2
ADD2	2016	spinaGeneticsNodalMarginal2016	MZL	2
ADH7	2016		DLBCL	3
ADNP	2022	burkhardtClinicalRelevanceMolecular2022	BL	2
AFAP1L2	2022		DLBCL	3
AGA	2022		DLBCL	3
AGO4	2022	burkhardtClinicalRelevanceMolecular2022	BL	2
AHR	2022		DLBCL	3
AICDA	2022		DLBCL	2
AKAP6	2018	tiacciPervasiveMutationsJAKSTAT2018	PMBL	2
AKAP8	2018		DLBCL	2
AKAP9	2018		DLBCL	3
ALAS1	2018		DLBCL	3
ALDH1L2	2018		DLBCL	3
ALDH3A2	2018		DLBCL	2
ALPK2	2019	paneaWholeGenomeLandscape2019	BL	3
AMAC1	2019		DLBCL	3
AMIGO3	2019		DLBCL	3
AMN	2016	spinaGeneticsNodalMarginal2016	MZL	2
AMOTL1	2013	parryWholeExomeSequencing2013	MZL	2
AMPH	2013		DLBCL	3
ANK2	2013		DLBCL	3
ANKLE2	2013		DLBCL	2
ANKRD12	2013		DLBCL	2
ANKRD17	2013		DLBCL	2
ANKRD44	2013		DLBCL	3
ANTXR1	2013		DLBCL	3
AOC2	2016	spinaGeneticsNodalMarginal2016	MZL	2
AP1G2	2016		DLBCL	3
APBB1	2016		DLBCL	3
APC	2016		DLBCL	3
APMAP	2016		DLBCL	3
APOA5	2016		DLBCL	3
APP	2016		DLBCL	3
ARAP2	2016		DLBCL	2
ARHGAP20	2017	jalladesExomeSequencingIdentifies2017	MZL	2
ARHGEF1	2014	muppidiLossSignalingGa132014	BL	2
ARHGEF15	2017	jalladesExomeSequencingIdentifies2017	MZL	2
ARHGEF17	2017	jalladesExomeSequencingIdentifies2017	MZL	2
ARID1A	2017	LOF	DLBCL	1
ARID1B	2017		DLBCL	3
ARID5B	2017		DLBCL	2
ARIH2	2015	reichelFlowSortingExome2015	PMBL	2
ASXL3	2015		DLBCL	2
ATIC	2015		DLBCL	3
ATM	2015	LOF	DLBCL	1
ATP10A	2015		DLBCL	3
ATP11C	2014	zhangGenomicLandscapeMantle2014	MCL	2
ATP1A2	2014		DLBCL	3
ATP2A3	2014		DLBCL	3
ATP2C2	2012	loveGeneticLandscapeMutations2012	BL	3
ATP6AP1	2015	greenMutationsEarlyFollicular2015	FL	1
ATP6V0A1	2015		DLBCL	3
ATP6V1A	2021	hubschmannMutationalMechanismsShaping2021	FL	2
ATP6V1B2	2015	greenMutationsEarlyFollicular2015	FL	1
ATR	2015		DLBCL	2
AXDND1	2023	gomezUltraDeepSequencingReveals2023	PMBL	2
B2M	2023	LOF	DLBCL	1
B4GALNT2	2023		DLBCL	3
BACH2	2019	grandeGenomewideDiscoverySomatic2019	BL	1
BAI1	2019		DLBCL	2
BAZ1A	2019		DLBCL	3
BCAT2	2019		DLBCL	3
BCL10	2019	GOF	DLBCL	1
BCL11A	2019		DLBCL	2
BCL2	2019		DLBCL	1
BCL2L10	2019		DLBCL	2
BCL6	2019	LOF	DLBCL	1
BCL7A	2019	LOF	DLBCL	1
BCOR	2017	jalladesExomeSequencingIdentifies2017	MZL	2
BCR	2017		DLBCL	2
BIRC3	2017		DLBCL	2
BIRC6	2017		DLBCL	1
BLM	2017		DLBCL	3
BMP7	2019	paneaWholeGenomeLandscape2019	BL	1
BMPR1A	2019		DLBCL	3
BRAF	2019	LOF	DLBCL	1
BRCA1	2019		DLBCL	3
BRCA2	2019		DLBCL	3
BRD4	2019		DLBCL	3
BRINP3	2019		DLBCL	2
BRSK1	2019		DLBCL	2
BSCL2	2019		DLBCL	3
BTAF1	2019		DLBCL	3
BTBD3	2019		DLBCL	2
BTG1	2019	LOF	DLBCL	1
BTG2	2019		DLBCL	1
BTK	2019	LOF	DLBCL	1
C12orf35	2019		DLBCL	2
C16orf48	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
C6orf103	2016	spinaGeneticsNodalMarginal2016	MZL	2
C6orf27	2012	loveGeneticLandscapeMutations2012	BL	3
C9	2012		DLBCL	3
CAD	2012		DLBCL	3
CADPS2	2012		DLBCL	2
CAMTA1	2012		DLBCL	2
CAPN5	2012		DLBCL	3
CAPN7	2012		DLBCL	3
CARD11	2012	GOF	DLBCL	1
CARD4	2012	loveGeneticLandscapeMutations2012	BL	2
CASP8	2012		DLBCL	2
CBFA2T3	2013	parryWholeExomeSequencing2013	MZL	2
CBLB	2013		DLBCL	3
CBX3	2013		DLBCL	3
CCDC132	2013		DLBCL	3
CCDC46	2013		DLBCL	3
CCDC97	2013		DLBCL	3
CCL4	2013		DLBCL	3
CCND1	2013	beaLandscapeSomaticMutations2013	MCL	1
CCND3	2013	GOF	DLBCL	1
CCNF	2013		DLBCL	3
CCT6B	2012	loveGeneticLandscapeMutations2012	BL	3
CD22	2012		DLBCL	2
CD274	2012		DLBCL	2
CD36	2012		DLBCL	2
CD44	2012		DLBCL	2
CD58	2012	LOF	DLBCL	1
CD70	2012	LOF	DLBCL	1
CD74	2012		DLBCL	2
CD79A	2012	rossiCodingGenomeSplenic2012	MZL	2
CD79B	2012	GOF	DLBCL	1
CD83	2012		DLBCL	1
CD9B	2017	vandenbrandRecurrentMutationsGenes2017	MZL	2
CDC123	2017		DLBCL	3
CDC27	2022	maSubtypespecificCooccurringGenetic2022	BL	2
CDC42BPB	2016	spinaGeneticsNodalMarginal2016	MZL	2
CDC73	2016		DLBCL	3
CDH1	2016		DLBCL	3
CDH10	2016		DLBCL	3
CDH17	2012	loveGeneticLandscapeMutations2012	BL	3
CDH2	2020	deschGenotypingCirculatingTumor2020	PMBL	2
CDH5	2023	gomezUltraDeepSequencingReveals2023	PMBL	2
CDH7	2023		DLBCL	3
CDH8	2023		DLBCL	3
CDH9	2023		DLBCL	2
CDK3	2023		DLBCL	3
CDKN1A	2023		DLBCL	3
CDKN2A	2023	LOF	DLBCL	1
CDKN2C	2023	thomasGeneticSubgroupsInform2023	BL	2
CECR1	2023		DLBCL	3
CELSR2	2023		DLBCL	3
CEP164	2023		DLBCL	2
CGN	2023		DLBCL	3
CHD1	2023		DLBCL	3
CHD3	2023		DLBCL	3
CHD4	2022	burkhardtClinicalRelevanceMolecular2022	BL	2
CHD8	2019	grandeGenomewideDiscoverySomatic2019	BL	1
CHEK2	2019		DLBCL	3
CHMP4C	2013	beaLandscapeSomaticMutations2013	MCL	2
CHRM5	2013		DLBCL	3
CHST2	2013		DLBCL	3
CIC	2013		DLBCL	3
CIITA	2013	LOF	DLBCL	1
CILP	2023	russler-germainMutationsAssociatedProgression2023	FL	2
CISH	2019	mottokIntegrativeGenomicAnalysis2019	PMBL	1
CLGN	2016	spinaGeneticsNodalMarginal2016	MZL	2
CNBP	2016	spinaGeneticsNodalMarginal2016	MZL	2
CNGA4	2016		DLBCL	3
CNKSR2	2016	spinaGeneticsNodalMarginal2016	MZL	2
CNOT2	2016		DLBCL	2
CNOT6	2016		DLBCL	3
CNP	2016		DLBCL	3
CNTN6	2016		DLBCL	3
CNTNAP5	2016		DLBCL	2
COL11A1	2014	zhangGenomicLandscapeMantle2014	MCL	2
COL12A1	2014		DLBCL	2
COL16A1	2014	zhangGenomicLandscapeMantle2014	MCL	2
COL4A2	2012	loveGeneticLandscapeMutations2012	BL	3
COL5A2	2012		DLBCL	3
COQ7	2012		DLBCL	2
CORO2A	2012		DLBCL	3
CORO7	2012		DLBCL	3
CPNE8	2021	hubschmannMutationalMechanismsShaping2021	FL	2
CPS1	2021		DLBCL	2
CPXM2	2022	burkhardtClinicalRelevanceMolecular2022	BL	2
CREBBP	2022	LOF	DLBCL	1
CRELD2	2022		DLBCL	3
CRIP1	2022		DLBCL	2
CRTC3	2022		DLBCL	3
CRYBG3	2013	beaLandscapeSomaticMutations2013	MCL	2
CSF2RB	2015	reichelFlowSortingExome2015	PMBL	1
CSNK1A1	2015		DLBCL	3
CSNK2A1	2015		DLBCL	3
CST7	2015		DLBCL	3
CTCF	2019	paneaWholeGenomeLandscape2019	BL	3
CTNNA2	2014	zhangGenomicLandscapeMantle2014	MCL	2
CTNNA3	2014		DLBCL	3
CTSS	2020	barariaCathepsinAlterationsInduce2020	FL	1
CXCR4	2020	LOF	DLBCL	1
CXCR5	2020		DLBCL	2
CYB5D1	2012	loveGeneticLandscapeMutations2012	BL	3
CYP24A1	2012		DLBCL	3
CYP2A6	2023	russler-germainMutationsAssociatedProgression2023	FL	2
CYP2C18	2023		DLBCL	3
CYP4F22	2012	loveGeneticLandscapeMutations2012	BL	3
CYTSB	2012		DLBCL	2
CYYR1	2012		DLBCL	3
DAZAP1	2012		DLBCL	2
DCAF6	2012		DLBCL	3
DCHS1	2012		DLBCL	2
DCP1B	2013	beaLandscapeSomaticMutations2013	MCL	2
DDB1	2013		DLBCL	3
DDX10	2013		DLBCL	2
DDX3X	2013	LOF	DLBCL	1
DGCR8	2013		DLBCL	3
DGKB	2018	tiacciPervasiveMutationsJAKSTAT2018	PMBL	2
DHCR7	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
DHDH	2014	zhangGenomicLandscapeMantle2014	MCL	2
DHX15	2021	hubschmannMutationalMechanismsShaping2021	FL	2
DHX16	2021		DLBCL	2
DHX33	2021		DLBCL	3
DIAPH2	2021		DLBCL	2
DIAPH3	2021		DLBCL	3
DICER1	2021		DLBCL	3
DIP2B	2021		DLBCL	3
DLC1	2014	zhangGenomicLandscapeMantle2014	MCL	2
DLGAP1	2014		DLBCL	3
DLGAP2	2013	beaLandscapeSomaticMutations2013	MCL	2
DMD	2015	reichelFlowSortingExome2015	PMBL	2
DMXL1	2015		DLBCL	3
DNAH12	2019	wienandGenomicAnalysesFlowsorted2019	PMBL	2
DNAH5	2019		DLBCL	2
DNAH7	2017	jalladesExomeSequencingIdentifies2017	MZL	2
DNAI1	2017	jalladesExomeSequencingIdentifies2017	MZL	2
DNAJC6	2013	beaLandscapeSomaticMutations2013	MCL	2
DNM2	2013		DLBCL	2
DNMT1	2019	paneaWholeGenomeLandscape2019	BL	3
DNMT3A	2019		DLBCL	3
DNMT3B	2019		DLBCL	2
DOCK1	2019		DLBCL	2
DOCK2	2019		DLBCL	3
DOCK5	2019		DLBCL	3
DOCK6	2017	jalladesExomeSequencingIdentifies2017	MZL	2
DOLK	2017		DLBCL	3
DPYD	2017		DLBCL	2
DSC2	2017		DLBCL	3
DSC3	2017		DLBCL	2
DSCAML1	2017		DLBCL	3
DSEL	2017		DLBCL	2
DSG2	2017		DLBCL	3
DSG4	2017		DLBCL	2
DSP	2017		DLBCL	3
DTNB	NA	Unknown	MZL	2
DTX1	NA		DLBCL	1
DTX3L	2017	jalladesExomeSequencingIdentifies2017	MZL	2
DUOXA2	2017		DLBCL	3
DUPD1	2017		DLBCL	3
DUSP2	2017		DLBCL	1
DUSP27	2017		DLBCL	2
DUSP9	2017		DLBCL	2
DYNC1H1	2017		DLBCL	3
DYNC1I1	2017		DLBCL	3
E2F2	2022	burkhardtClinicalRelevanceMolecular2022	BL	2
EBF1	2022	LOF	DLBCL	1
ECGF1	2022		DLBCL	3
ECT2L	2022		DLBCL	3
EDNRB	2022	burkhardtClinicalRelevanceMolecular2022	BL	2
EEF1A1	2022		DLBCL	1
EGFR	2022		DLBCL	3
EGR1	2012	rossiCodingGenomeSplenic2012	MZL	2
EGR2	2012	rossiCodingGenomeSplenic2012	MZL	2
EHD1	2023	thomasGeneticSubgroupsInform2023	BL	2
EIF2AK3	2023		DLBCL	2
EIF2AK4	2014	zhangGenomicLandscapeMantle2014	MCL	2
EIF2C4	2012	loveGeneticLandscapeMutations2012	BL	3
EIF4A1	2019	paneaWholeGenomeLandscape2019	BL	2
ELP2	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
EML2	2012	loveGeneticLandscapeMutations2012	BL	3
ENTPD3	2012	loveGeneticLandscapeMutations2012	BL	3
EP300	2012	LOF	DLBCL	1
EPHA3	2012		DLBCL	3
EPHA5	2012		DLBCL	3
EPHA7	2012		DLBCL	3
EPHB2	2012	loveGeneticLandscapeMutations2012	BL	3
EPPK1	2019	paneaWholeGenomeLandscape2019	BL	2
ERAP1	2022	burkhardtClinicalRelevanceMolecular2022	BL	2
ERAP2	2022		DLBCL	2
ERBB3	2022		DLBCL	3
ERN2	2022		DLBCL	3
ESX1	2014	zhangGenomicLandscapeMantle2014	MCL	2
ETNPPL	2014		DLBCL	3
ETS1	2014		DLBCL	1
ETV6	2014	LOF	DLBCL	1
EWSR1	2020	pararajalingamCodingNoncodingDrivers2020	MCL	1
EXOSC6	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
EXTL3	2012		DLBCL	3
EZH1	2017	jalladesExomeSequencingIdentifies2017	MZL	2
EZH2	2017	GOF	DLBCL	1
EZR	2020	deschGenotypingCirculatingTumor2020	PMBL	2
FAIM	2020		DLBCL	3
FAM129B	2012	loveGeneticLandscapeMutations2012	BL	3
FAM161A	2012		DLBCL	3
FAM38B	2012		DLBCL	3
FAM62C	2012		DLBCL	3
FANCD2	2012		DLBCL	3
FAS	2012	LOF	DLBCL	1
FAT1	2016	spinaGeneticsNodalMarginal2016	MZL	1
FAT2	2016		DLBCL	2
FAT4	2016		DLBCL	2
FBLN2	2016		DLBCL	2
FBXO11	2016	LOF	DLBCL	1
FBXO31	2016		DLBCL	2
FBXW7	2016	LOF	DLBCL	1
FGD3	2016		DLBCL	3
FGFR1	2016		DLBCL	3
FGFR3	2012	loveGeneticLandscapeMutations2012	BL	3
FGFRL1	2012		DLBCL	2
FIGN	2012		DLBCL	3
FLNA	2012		DLBCL	3
FLNC	2012		DLBCL	3
FLT1	2012		DLBCL	3
FLYWCH1	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
FMO2	2012		DLBCL	3
FN1	2012		DLBCL	3
FNDC1	2012		DLBCL	3
FOXC1	2012		DLBCL	2
FOXO1	2012	GOF	DLBCL	1
FOXP1	2012		DLBCL	2
FRMPD1	2012		DLBCL	3
