Gene	Year	Citekey	Entity	Tier
ABCA13	2016	spinaGeneticsNodalMarginal2016	MZL	2
ABCA13	2021	sarkozyMutationalLandscapeGray2021	PMBL	2
ABCA3	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
ABCA3	2013	beaLandscapeSomaticMutations2013	MCL	2
ABCA4	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
ABCB1	2020	fanComprehensiveCharacterizationDriver2020	DLBCL	3
ABCC9	2013	beaLandscapeSomaticMutations2013	MCL	2
ABI3BP	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
ABL2	2023	russler-germainMutationsAssociatedProgression2023	FL	2
ACAD9	2012	loveGeneticLandscapeMutations2012	BL	3
ACE	2012	loveGeneticLandscapeMutations2012	BL	3
ACE	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
ACSM3	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
ACSS2	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
ACSS3	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
ACTB	2012	lohrDiscoveryPrioritizationSomatic2012	DLBCL	1
ACTB	2023	drevalGeneticSubdivisionsFollicular2023	FL	1
ACTB	2019	wienandGenomicAnalysesFlowsorted2019	PMBL	1
ACTG1	2020	deschGenotypingCirculatingTumor2020	PMBL	2
ACTG1	2020	fanComprehensiveCharacterizationDriver2020	DLBCL	1
ACTG1	2021	hubschmannMutationalMechanismsShaping2021	FL	2
ACTG1	2016	spinaGeneticsNodalMarginal2016	MZL	2
ACTN1	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
ADAM2	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
ADAMTS1	2021	hubschmannMutationalMechanismsShaping2021	DLBCL	2
ADAMTS15	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
ADAMTS5	2022	burkhardtClinicalRelevanceMolecular2022	BL	2
ADAMTSL3	2011	pasqualucciAnalysisCodingGenome2011	DLBCL	2
ADD2	2016	spinaGeneticsNodalMarginal2016	MZL	2
ADH7	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
ADNP	2022	burkhardtClinicalRelevanceMolecular2022	BL	2
AFAP1L2	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
AGA	2020	fanComprehensiveCharacterizationDriver2020	DLBCL	3
AGO4	2022	burkhardtClinicalRelevanceMolecular2022	BL	2
AHR	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
AICDA	2018	arthurGenomewideDiscoverySomatic2018	DLBCL	2
AKAP6	2018	tiacciPervasiveMutationsJAKSTAT2018	PMBL	2
AKAP8	2011	pasqualucciAnalysisCodingGenome2011	DLBCL	2
AKAP9	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
ALAS1	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
ALDH1L2	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
ALDH3A2	2015	novakWholeexomeAnalysisReveals2015	DLBCL	2
ALPK2	2019	paneaWholeGenomeLandscape2019	BL	3
AMAC1	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
AMIGO3	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
AMN	2016	spinaGeneticsNodalMarginal2016	MZL	2
AMOTL1	2013	parryWholeExomeSequencing2013	MZL	2
AMPH	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
ANK2	2014	zhangGenomicLandscapeMantle2014	MCL	2
ANK2	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
ANKLE2	2011	pasqualucciAnalysisCodingGenome2011	DLBCL	2
ANKRD12	2021	hubschmannMutationalMechanismsShaping2021	DLBCL	2
ANKRD17	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	2
ANKRD44	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
ANTXR1	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
AOC2	2016	spinaGeneticsNodalMarginal2016	MZL	2
AP1G2	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
APBB1	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
APC	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
APMAP	2020	fanComprehensiveCharacterizationDriver2020	DLBCL	3
APOA5	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
APP	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	3
ARAP2	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
ARHGAP20	2017	jalladesExomeSequencingIdentifies2017	MZL	2
ARHGEF1	2014	muppidiLossSignalingGa132014	BL	2
