FLAGS_rank	Gene	FLAGS_mutations
1	TTN	2659
2	MUC16	1222
3	OBSCN	825
4	AHNAK2	809
5	SYNE1	686
6	FLG	622
7	MUC5B	552
8	DNAH17	550
9	PLEC	543
10	DST	541
11	SYNE2	537
12	NEB	531
13	HSPG2	515
14	LAMA5	505
15	AHNAK	493
16	HMCN1	484
17	USH2A	468
18	DNAH11	445
19	MACF1	440
20	MUC17	435
21	DNAH5	430
22	GPR98	420
23	FAT1	412
24	PKD1	402
25	MDN1	397
26	RNF213	396
27	RYR1	393
28	DNAH2	389
29	DNAH3	386
30	DNAH8	383
31	DNAH1	381
32	DNAH9	379
33	ABCA13	375
34	APOB	372
35	SRRM2	371
36	CUBN	363
37	SPTBN5	357
38	PKHD1	353
39	LRP2	352
40	FBN3	350
41	CDH23	349
42	DNAH10	349
43	FAT4	348
44	RYR3	347
45	PKHD1L1	345
46	FAT2	344
47	CSMD1	341
48	PCNT	341
49	COL6A3	336
50	FRAS1	332
51	FCGBP	325
52	DNAH7	323
53	RP1L1	323
54	PCLO	314
55	ZFHX3	306
56	COL7A1	302
57	LRP1B	302
58	FAT3	299
59	EPPK1	296
60	VPS13C	293
61	HRNR	290
62	MKI67	290
63	MYO15A	290
64	STAB1	290
65	ZAN	290
66	UBR4	288
67	VPS13B	288
68	LAMA1	287
69	XIRP2	287
70	BSN	286
71	KMT2C	286
72	ALMS1	284
73	CELSR1	284
74	TG	284
75	LAMA3	282
76	DYNC2H1	280
77	KMT2D	280
78	BRCA2	276
79	CMYA5	276
80	SACS	275
81	STAB2	275
82	AKAP13	272
83	UTRN	272
84	VWF	271
85	VPS13D	270
86	ANK3	269
87	FREM2	269
88	PKD1L1	269
89	LAMA2	266
90	ABCA7	265
91	LRP1	264
92	ASPM	262
93	MYOM2	259
94	PDE4DIP	259
95	TACC2	259
96	MUC2	255
97	TEP1	255
98	HELZ2	254
99	HERC2	254
100	ABCA4	253
101	PPL	253
102	SDK1	251
103	LYST	250
104	AKAP9	249
105	VCAN	249
106	HERC1	248
107	CACNA1H	245
108	CELSR2	244
109	LRBA	244
110	SPTA1	244
111	SPTB	244
112	ANK2	243
113	CSMD2	242
114	SVEP1	242
115	ACACB	238
116	CELSR3	238
117	CSMD3	238
118	DCHS1	236
119	DMD	236
120	PRKDC	236
121	IGSF10	234
122	RELN	234
123	OTOF	233
124	DCHS2	232
125	MYO18B	231
126	BIRC6	230
127	DMXL1	230
128	PDZD2	230
129	COL6A6	229
130	MYO7A	229
131	CENPF	228
132	FBN2	228
133	TNXB	228
134	NCOR2	225
135	SPEN	224
136	ATM	223
137	DNHD1	223
138	HYDIN	223
139	DYSF	222
140	TUBGCP6	221
141	PCDH15	220
142	TSC2	219
143	DMBT1	217
144	RANBP2	216
145	MUC4	215
146	FLNC	214
147	NBAS	214
148	EP400	212
149	IGF2R	212
150	FASN	211
151	SZT2	211
152	MUC6	210
153	AGRN	209
154	FLNB	209
155	ROS1	208
156	SLX4	208
157	TRPM2	208
158	WDR90	207
159	CCDC108	206
