chr_name	hg19_start	hg19_end	gene	region
chr1	203274698	203275778	BTG2	intronic
chr1	226864857	226873452	ITPKB	intronic
chr1	226920563	226927885	ITPKB	TSS
chr1	226921088	226927982	ITPKB	intron-1
chr10	127578912	127591133	FANK1	TSS
chr11	35156769	35164248	CD44	TSS
chr11	60223385	60225310	MS4A1	TSS
chr11	65190369	65192380	NEAT1	ncRNA
chr11	65265237	65268359	MALAT1	ncRNA
chr11	102188170	102190077	BIRC3	TSS
chr11	111248078	111250224	POU2AF1	TSS
chr11	128339774	128345731	ETS1	introns
chr11	128388492	128394163	ETS1	TSS-2
chr12	11796001	11812968	ETV6	TSS
chr12	25204045	25213569	LRMP	TSS
chr12	92537999	92539598	BTG1	TSS
chr12	113492311	113497546	DTX1	TSS
chr12	122456912	122464036	BCL7A	TSS
chr13	46957278	46963342	C13orf18	TSS
chr14	69257848	69259739	ZFP36L1	TSS
chr14	94940587	94942549	SERPINA9	TSS
chr14	96179535	96180366	TCL1A	TSS
chr15	59658991	59671152	MYO1E	TSS
chr16	10970795	10975465	CIITA	TSS
chr16	11347512	11350007	SOCS1	intron-1
chr16	27322895	27329423	IL4R	TSS
chr16	85931918	85933977	IRF8	TSS
chr17	3597616	3599572	P2RX5	TSS
chr17	56407732	56410140	TSPOAP1	intergenic
chr17	75424734	75471471	SEPT9	intronic
chr18	60796984	60814103	BCL2	intronic
chr18	60982728	60988342	BCL2	TSS
chr19	10340142	10341764	S1PR2	TSS
chr19	16434978	16439011	KLF2	TSS
chr19	19279635	19281441	MEF2B	TSS
chr2	60773789	60783486	BCL11A	TSS
chr2	96808901	96811913	DUSP2	intron-1
chr2	111874854	111882174	BCL2L11	TSS
chr2	136874728	136875461	CXCR4	intronic
chr20	46128611	46138099	NCOA3	TSS
chr20	49120482	49140477	PTPN1	TSS
chr21	26934372	26937651	MIR155HG	TSS
chr22	23229554	23232042	IGLL5	TSS
chr3	16546433	16556786	RFTN1	TSS
chr3	32020518	32024930	OSBPL10	TSS-1
chr3	71104986	71119518	FOXP1	TSS-4
chr3	71176427	71180960	FOXP1	TSS-3
chr3	71350633	71357665	FOXP1	TSS-2
chr3	71503103	71504870	FOXP1	intron-1b
chr3	71550753	71551478	FOXP1	intron-1a
chr3	71626341	71635648	FOXP1	TSS-1
chr3	101546669	101547704	NFKBIZ	TSS-1
chr3	101568239	101569274	NFKBIZ	TSS-2
chr3	183269360	183274139	KLHL6	TSS
chr3	186737482	186741455	ST6GAL1	TSS-2
chr3	186739628	186740875	ST6GAL1	TSS-1
chr3	186781067	186784816	ST6GAL1	intronic-2
chr3	186783199	186784291	ST6GAL1	intronic-1
chr3	187458526	187464632	BCL6	TSS
chr3	187771678	187982852	LPP	TSS-1
chr3	188377178	188491248	LPP	intronic
chr4	40193105	40204231	RHOH	TSS
chr5	88131209	88206620	MEF2C	TSS
chr5	131823933	131826458	IRF1	TSS
chr5	149790977	149792349	CD74	TSS
chr5	158500476	158532769	EBF1	TSS
chr6	390572	394093	IRF4	TSS
chr6	14118026	14120025	CD83	TSS
chr6	31548325	31550717	LTB	intron-1
chr6	37138104	37139804	PIM1	TSS
chr6	90981034	91016134	BACH2	TSS
chr6	134487960	134499859	SGK1	TSS-1
chr7	5568297	5570856	ACTB	TSS
chr8	11347723	11355318	BLK	TSS
chr8	128748352	128749427	MYC	TSS
chr9	37021323	37043181	PAX5	TSS-2
chr9	37023396	37027663	PAX5	intron-1
chr9	37032576	37037704	PAX5	TSS-1
chr9	37192080	37207549	ZCCHC7	intron-3
chr9	37276495	37342191	ZCCHC7	intronic
chr9	37282092	37309161	ZCCHC7	intron-2
chr9	37323113	37340687	ZCCHC7	intron-1
chr9	37369209	37372160	PAX5	distal-enhancer-1
chr9	37382267	37385854	PAX5	distal-enhancer-2
chr9	37395932	37409239	PAX5	distal-enhancer-3
chr9	37423010	37425279	GRHPR	TSS
chrX	12993308	12994511	TMSB4X	intronic
chrX	48774756	48776255	PIM2	TSS
