pmid	doi	year	title	Hugo_Symbol
35255429	10.1016/j.anndiagpath.2021.151886	2022	De Novo CD5-positive diffuse large B-cell lymphoma: A genomic profiling study and prognostic analysis of 46 patients.	ACTB
35344115	10.1007/s11033-022-07337-w	2022	Identification and validation of suitable housekeeping genes for gene expression studies in BCR-ABL1 positive B-lineage acute lymphoblastic leukemia.	ACTB
35765478	10.14202/vetworld.2022.1333-1340	2022	Investigation of proteomic profiles in canine lymphoma using tandem mass tag-based quantitative proteomics approach.	ACTB
33404293	10.1080/15548627.2020.1871204	2021	BNIP3L-mediated mitophagy is required for mitochondrial remodeling during the differentiation of optic nerve oligodendrocytes.	ACTB
33952317	10.1186/s13148-021-01091-9	2021	Methylated markers accurately distinguish primary central nervous system lymphomas (PCNSL) from other CNS tumors.	ACTB
34598060	10.1016/j.ctarc.2021.100465	2021	Prioritising breast cancer theranostics: A current medical longing in oncology.	ACTB
34925435	10.3389/fgene.2021.677650	2021	Genetic Landscape of Relapsed and Refractory Diffuse Large B-Cell Lymphoma: A Systemic Review and Association Analysis With Next-Generation Sequencing.	ACTB
31242129	10.1080/15548627.2019.1635380	2020	<i>MIR145-3p</i> promotes autophagy and enhances bortezomib sensitivity in multiple myeloma by targeting <i>HDAC4</i>.	ACTB
32349449	10.3390/ijms21093093	2020	Prevalence of Cytoplasmic Actin Mutations in Diffuse Large B-Cell Lymphoma and Multiple Myeloma: A Functional Assessment Based on Actin Three-Dimensional Structures.	ACTB
32565964	10.3892/ol.2020.11552	2020	Comprehensive characterization of driver genes in diffuse large B cell lymphoma.	ACTB
31108950	10.3390/genes10050376	2019	Identification and Validation of Novel Reference Genes in Acute Lymphoblastic Leukemia for Droplet Digital PCR.	ACTB
29433359	10.1080/15548627.2017.1390636	2018	Piperlongumine restores the balance of autophagy and apoptosis by increasing BCL2 phosphorylation in rotenone-induced Parkinson disease models.	ACTB
27868373	10.1002/ajmg.a.38057	2017	Acute myeloid leukemia in Baraitser-Winter cerebrofrontofacial syndrome.	ACTB
