Chromosome	Start_Position	End_Position	gene	region	regulatory_comment
chr1	6601422	6602642	KLHL21	TSS	NA
chr1	23559093	23559344	ID3	TSS	NA
chr1	28506039	28509827	RCC1	TSS	NA
chr1	30756165	30759164	LAPTM5	TSS	NA
chr1	150578338	150579659	MCL1	intron	NA
chr2	88605321	88609578	EIF2Ak3	intron	NA
chr2	88625938	88628063	EIF2Ak3	TSS	NA
chr2	231707930	231709587	PTMA	TSS	NA
chr2	156812978	156814787	FCRL3	TSS	NA
chr1	203305570	203306650	BTG2	intron	active_promoter
chr1	206054141	206056132	RHEX	TSS	NA
chr1	206053265	206054139	RHEX	TSS	NA
chr1	226677156	226685751	ITPKB	intron	weak_enhancer
chr1	226732862	226740184	ITPKB	TSS	active_promoter
chr1	226733387	226740281	ITPKB	intron-1	enhancer
chr2	60546654	60556351	BCL11A	TSS	active_promoter
chr2	96143162	96146174	DUSP2	intron-1	enhancer
chr2	111117277	111124597	BCL2L11	TSS	active_promoter
chr2	136117158	136117891	CXCR4	intron	weak_promoter
chr3	16504926	16515279	RFTN1	TSS	active_promoter-strong_enhancer
chr3	31979026	31983438	OSBPL10	TSS-1	active_promoter
chr3	71055835	71070367	FOXP1	TSS-4	active_promoter
chr3	71127276	71131809	FOXP1	TSS-3	active_promoter
chr3	71301482	71308514	FOXP1	TSS-2	active_promoter
chr3	71453952	71455719	FOXP1	intron-1b	intron
chr3	71501602	71502327	FOXP1	intron-1a	intron
chr3	71577190	71586497	FOXP1	TSS-1	active_promoter
chr3	101827825	101828860	NFKBIZ	TSS-1	active_promoter
chr3	101849395	101850430	NFKBIZ	TSS-2	active_promoter
chr3	183551572	183556351	KLHL6	TSS	active_promoter-strong_enhancer
chr3	186930154	186932388	ST6GAL1	TSS-2	NA
chr3	187021840	187023087	ST6GAL1	TSS-1	active_promoter
chr3	186991706	187003961	ST6GAL1	intron-2	NA
chr3	187064734	187066650	ST6GAL1	intron-1	strong_enhancer
chr3	187740738	187746844	BCL6	TSS	NA
chr3	187897745	187907871	BCL6	Intergenic-1	NA
chr3	187907871	187920313	BCL6	Intergenic-2	NA
chr3	187939730	187948208	BCL6	Intergenic-3	NA
chr3	187957953	187972929	BCL6	Intergenic-4	NA
